item,itemLabel
http://www.wikidata.org/entity/Q70887733,"The built environment, maintenance of the public sphere and connections to others and to place: an examination of 10 international cities"
http://www.wikidata.org/entity/Q70888523,Understanding the Pursuit of Happiness in Ten Major Cities
http://www.wikidata.org/entity/Q70893344,"A Theory of Political Parties: Groups, Policy Demands and Nominations in American Politics"
http://www.wikidata.org/entity/Q70894095,Party Versus Faction in the Reformed Presidential Nominating System
http://www.wikidata.org/entity/Q70897088,"A Middle class without democracy : interest groups, lobbying coalitions, and policy change"
http://www.wikidata.org/entity/Q70899280,National Identity and Migration in an Emerging Gateway Community
http://www.wikidata.org/entity/Q70899813,Just Not Like Us: The Interactive Impact of Dimensions of Identity and Race in Attitudes towards Immigration
http://www.wikidata.org/entity/Q71014198,The challenge of coordinated civic climate change education
http://www.wikidata.org/entity/Q71015112,The Past as Prologue: How the Early Years of the US Institute for Environmental Conflict Resolution Helped Shape the Program at Age Fifteen
http://www.wikidata.org/entity/Q71015929,Public Service Leadership: Opportunities for Clarity and Coherence
http://www.wikidata.org/entity/Q71017855,Will rising powers undermine global norms? The case of gender-balanced decision-making
http://www.wikidata.org/entity/Q71018725,The Representation of Women in African Legislatures and Cabinets: An Examination with Reference to Ghana
http://www.wikidata.org/entity/Q71019240,Breaking the Final Glass Ceiling: The Influence of Gender in the Elections of Ellen Johnson-Sirleaf and Michelle Bachelet
http://www.wikidata.org/entity/Q71028687,The Audience Shift in George Herbert's Poetry
http://www.wikidata.org/entity/Q71029687,Theological Inconsistency and its Uses in George Herbert's Poetry
http://www.wikidata.org/entity/Q71156960,Heterotopic Nightmares and Coming of Age in Elijah of Buxton: Mobility and Maturation
http://www.wikidata.org/entity/Q71157488,Controlling Nature: Mary Webb and the National Trust
http://www.wikidata.org/entity/Q71157934,Cultivating Mary: The Victorian Secret Garden
http://www.wikidata.org/entity/Q71162012,Star Signatures: A cultural studies analysis of Máire Nic Shiubhlaigh's Notebook
http://www.wikidata.org/entity/Q71162687,Notes Toward a Values-Driven Framework for Digital Humanities Pedagogy
http://www.wikidata.org/entity/Q71163324,Playful Affinity: A Case Study of the Digital Writing And Research Lab as a Collaborative Graduate Student Research Network
http://www.wikidata.org/entity/Q71441316,Believing is Seeing is Believing: Elective Abortion and Visual Closure
http://www.wikidata.org/entity/Q71441798,Impossible Motherhood: Irene Vilar's Misconceived Metaphors
http://www.wikidata.org/entity/Q71448656,"The DVD, film studies, and the creation of an attainable text"
http://www.wikidata.org/entity/Q71449889,Inferno Revealed: From Dante to Dan Brown
http://www.wikidata.org/entity/Q71453086,Embracing Dionysius in Alan Moore's Swamp Thing
http://www.wikidata.org/entity/Q71454292,"Bruce Banner on the Couch: Dubious Psychologizing, The Drama of the Gifted Child, and the Rise of the 'Victim Culture' in the 1980s and 1990s"
http://www.wikidata.org/entity/Q71455067,Worshipping at the Altar: Creative Writing and the Myth of Inspiration
http://www.wikidata.org/entity/Q71457791,It's Not About American Football: Tony Dungy's Journey of Self-Emancipation from Rejected Black Quarterback to Celebrated African American Coach
http://www.wikidata.org/entity/Q71458727,Virtual Writing as Actual Leadership
http://www.wikidata.org/entity/Q71461120,Promoting Global Empathy and Engagement through Real-Time Problem-Based Simulations
http://www.wikidata.org/entity/Q71462122,Judicial Self-Governance and the Rule of Law
